source_work_item_id,target_work_item_id,type,min_lag_d,typ_lag_d,max_lag_d,critical,note,policy_dep_type,constraint_id,window_id
MS_BESS-PV-COLOC-200-200_engineering,MS_BESS-PV-COLOC-200-200_procurement,FS,0,0,7,FALSE,sequential FS,,,
MS_BESS-PV-COLOC-200-200_procurement,MS_BESS-PV-COLOC-200-200_construction,FS,14,45,120,TRUE,materials/LLP readiness,,,
MS_BESS-PV-COLOC-200-200_construction,MS_BESS-PV-COLOC-200-200_interconnection,FS,0,7,30,TRUE,coord with utility/iso,,,
MS_BESS-PV-COLOC-200-200_interconnection,MS_BESS-PV-COLOC-200-200_commissioning,FS,0,5,14,TRUE,buffer into commissioning,,,
MS_BESS-PV-COLOC-200-200_engineering,MS_BESS-PV-COLOC-200-200_procurement,SS,0,0,5,FALSE,parallel start,,,
MS_BESS-PV-COLOC-200-200_construction,MS_BESS-PV-COLOC-200-200_commissioning,FF,0,0,0,TRUE,finish together,,,
MS_BESS-PV-COLOC-200-200_procurement,MS_BESS-PV-COLOC-200-200_commissioning,SF,0,0,14,TRUE,last deliveries gate COD,,,
Cape_Wind_new_build_engineering,Cape_Wind_new_build_procurement,FS,0,0,7,FALSE,sequential FS,,,
Cape_Wind_new_build_procurement,Cape_Wind_new_build_construction,FS,14,45,120,TRUE,materials/LLP readiness,,,
Cape_Wind_new_build_construction,Cape_Wind_new_build_interconnection,FS,0,7,30,TRUE,coord with utility/iso,,,
Cape_Wind_new_build_interconnection,Cape_Wind_new_build_commissioning,FS,0,5,14,TRUE,buffer into commissioning,,,
Cape_Wind_new_build_engineering,Cape_Wind_new_build_procurement,SS,0,0,5,FALSE,parallel start,,,
Cape_Wind_new_build_construction,Cape_Wind_new_build_commissioning,FF,0,0,0,TRUE,finish together,,,
Cape_Wind_new_build_procurement,Cape_Wind_new_build_commissioning,SF,0,0,14,TRUE,last deliveries gate COD,,,
HY-BARTLETT56-MOD_MS1,HY-BARTLETT56-MOD_MS2,FS,0,0,7,FALSE,sequential FS,,,
HY-BARTLETT56-MOD_MS2,HY-BARTLETT56-MOD_MS3,FS,0,0,7,FALSE,sequential FS,,,
HY-BARTLETT56-MOD_MS3,HY-BARTLETT56-MOD_MS4,FS,0,0,7,FALSE,sequential FS,,,
HY-BARTLETT56-MOD_MS4,HY-BARTLETT56-MOD_MS5,FS,0,0,7,FALSE,sequential FS,,,
HY-BARTLETT56-MOD_MS5,HY-BARTLETT56-MOD_MS6,FS,0,0,7,FALSE,sequential FS,,,
HY-BARTLETT56-MOD_MS6,HY-BARTLETT56-MOD_MS7,FS,0,5,14,TRUE,buffer into commissioning,,,
HY-BARTLETT56-MOD_MS7,HY-BARTLETT56-MOD_MS8,FS,0,0,7,FALSE,sequential FS,,,
HY-BARTLETT56-MOD_MS2,HY-BARTLETT56-MOD_MS3,SS,0,0,5,FALSE,parallel start,,,
HY-BARTLETT56-MOD_MS6,HY-BARTLETT56-MOD_MS7,FF,0,0,7,FALSE,coordinated finish,,,
HY-BARTLETT56-MOD_MS3,HY-BARTLETT56-MOD_MS7,SF,0,0,7,FALSE,succ finish gated by pred start,,,
MCI-NGC5_MS1,MCI-NGC5_MS2,FS,0,0,7,FALSE,sequential FS,,,
MCI-NGC5_MS2,MCI-NGC5_MS3,FS,0,5,14,TRUE,buffer into commissioning,,,
MCI-NGC5_MS3,MCI-NGC5_MS4,FS,0,0,7,FALSE,sequential FS,,,
MCI-NGC5_MS4,MCI-NGC5_MS5,FS,0,0,7,FALSE,sequential FS,,,
MCI-NGC5_MS5,MCI-NGC5_MS6,FS,0,0,7,FALSE,sequential FS,,,
MCI-NGC5_MS6,MCI-NGC5_MS7,FS,0,0,7,FALSE,sequential FS,,,
